//<rep0>    <rep1>
48FB04001	UTENZA1
48FB04002	UTENZA2
48FB04003	UTENZA30
48FB04004	UTENZA31
48FB04005	UTENZA32
48FB04006	UTENZA33
48FB04007	UTENZA36
48FB04008	UTENZA37
48FB04009	UTENZA38
48FB04010	UTENZA39
48FB04011	UTENZA42
48FB04012	UTENZA43
48FB04013	UTENZA44
48FB04014	UTENZA45
48FB04015	UTENZA48
48FB04016	UTENZA49
48FB04017	UTENZA52
48FB12001	UTENZA55
48FB12002	UTENZA56
48FB12003	UTENZA57
48FB12004	UTENZA58
48FB12005	UTENZA59
48FB12006	UTENZA60
48FB12007	UTENZA61
48FB07001	UTENZA90
48FB07002	UTENZA91
48FB07003	UTENZA120
48FB07004	UTENZA121
48FB07005	UTENZA122
48FB07006	UTENZA123
48FB07007	UTENZA126
48FB07008	UTENZA127
48FB07009	UTENZA128
48FB07010	UTENZA129
48FB07011	UTENZA130
48FB07012	UTENZA131
48FB07013	UTENZA134
48FB18001	UTENZA137
48FB18002	UTENZA140
48FB18003	UTENZA141
48FB18004	UTENZA142
48FB18005	UTENZA145
48FB18006	UTENZA146
48FB18007	UTENZA149
48FB18008	UTENZA150
48FB18009	UTENZA170
48FB18010	UTENZA171
48FB18011	UTENZA172
48FB18012	UTENZA175
48FB18013	UTENZA176
48FB18014	UTENZA200
48FB18015	UTENZA201
48FB18016	UTENZA202
48FB18017	UTENZA203
48FB18018	UTENZA204
